func,noise,M,lam,cv,test
cos x,равномерный,7,3.1622776601683795e-05,0.8289128596428836,0.22509692305843376
cos x,равномерный,7,0.0001,0.8085372534150258,0.21127930006635007
cos x,равномерный,7,0.00031622776601683794,0.571772423418014,0.19692312397130676
cos x,равномерный,7,0.001,0.3417683561829124,0.19140679462741741
cos x,равномерный,7,0.0031622776601683794,0.27399084986297234,0.19250035436407442
cos x,равномерный,7,0.01,0.32911938765265203,0.19460539074016936
cos x,равномерный,7,0.03162277660168379,0.4053432969832018,0.19730716275554971
cos x,равномерный,7,0.1,0.4413630207253069,0.22732609647621177
cos x,равномерный,7,0.31622776601683794,0.44083732358431654,0.3107734857748421
cos x,равномерный,7,1.0,0.42991982340708035,0.41046074344862193
cos x,равномерный,7,3.1622776601683795,0.48213343505977424,0.515902649588128
cos x,равномерный,7,10.0,0.5640582426913341,0.6302442090346072
cos x,равномерный,7,31.622776601683793,0.6214860329758043,0.7108707513809863
cos x,равномерный,7,100.0,0.6491733111935061,0.748066481870204
cos x,равномерный,8,0.0,2.298079171759525,0.610583790281572
cos x,равномерный,8,1e-10,2.2978606561351453,0.6105824063445734
cos x,равномерный,8,3.1622776601683795e-10,2.29738828156479,0.6105794139234156
cos x,равномерный,8,1e-09,2.2958955531458094,0.6105699512959621
cos x,равномерный,8,3.1622776601683795e-09,2.291185620003737,0.6105400303592468
cos x,равномерный,8,1e-08,2.2763955926247568,0.6104454371699591
cos x,равномерный,8,3.162277660168379e-08,2.2306418546408313,0.6101465582186917
cos x,равномерный,8,1e-07,2.095403062714833,0.6092039226770048
cos x,равномерный,8,3.162277660168379e-07,1.7440347624682062,0.6062478531633728
cos x,равномерный,8,1e-06,1.073059698410869,0.5971411988693549
cos x,равномерный,8,3.162277660168379e-06,0.4565164621025876,0.5705588889185175
cos x,равномерный,8,1e-05,0.8386047860175119,0.50380836868591
cos x,равномерный,8,3.1622776601683795e-05,1.2072354338402194,0.3852832401651307
cos x,равномерный,8,0.0001,1.3019215166827598,0.2667595992832752
cos x,равномерный,8,0.00031622776601683794,1.0611545305645447,0.20674030247053185
cos x,равномерный,8,0.001,0.6677650686193627,0.1923149943589092
cos x,равномерный,8,0.0031622776601683794,0.4225922677196097,0.1926199271613812
cos x,равномерный,8,0.01,0.3780664952467922,0.19825338694766698
cos x,равномерный,8,0.03162277660168379,0.414726022140859,0.20269427485141367
cos x,равномерный,8,0.1,0.4389459630272838,0.22068522221392595
cos x,равномерный,8,0.31622776601683794,0.44278048223137756,0.2961076030703525
cos x,равномерный,8,1.0,0.44016832701236536,0.40850560545060466
cos x,равномерный,8,3.1622776601683795,0.48080976486279675,0.5163264416690401
cos x,равномерный,8,10.0,0.558615946994864,0.6232981323020986
cos x,равномерный,8,31.622776601683793,0.6176603992208337,0.7045756362261246
cos x,равномерный,8,100.0,0.647531458196237,0.74519116396222
cos x,равномерный,9,0.0,0.6426997416959621,0.27157236187797695
cos x,равномерный,9,1e-10,0.6434108252579426,0.27157424565159427
cos x,равномерный,9,3.1622776601683795e-10,0.6449450006957836,0.27157831909168745
cos x,равномерный,9,1e-09,0.6497661696380257,0.2715912024573271
cos x,равномерный,9,3.1622776601683795e-09,0.6647137566703573,0.27163196305868886
cos x,равномерный,9,1e-08,0.7091494044222731,0.27176105604732764
cos x,равномерный,9,3.162277660168379e-08,0.8255278045670057,0.2721711963633733
cos x,равномерный,9,1e-07,1.0398792725811024,0.27348565055242413
cos x,равномерный,9,3.162277660168379e-07,1.1822624859878652,0.2777705524765139
cos x,равномерный,9,1e-06,0.9587529545785577,0.29156578476778755
cos x,равномерный,9,3.162277660168379e-06,0.5479200106214555,0.32611428012715277
cos x,равномерный,9,1e-05,0.5809210229932991,0.3593523762229625
cos x,равномерный,9,3.1622776601683795e-05,0.8550219504645178,0.32805522820056365
cos x,равномерный,9,0.0001,0.9967294732428706,0.25901753512737075
cos x,равномерный,9,0.00031622776601683794,0.8418020204157802,0.2159521561841849
cos x,равномерный,9,0.001,0.5252934533259838,0.19950149485180765
cos x,равномерный,9,0.0031622776601683794,0.3427800719687041,0.19764592849235268
cos x,равномерный,9,0.01,0.3338435243536547,0.20289679265360647
cos x,равномерный,9,0.03162277660168379,0.40662197371336317,0.20520001237031468
cos x,равномерный,9,0.1,0.44275702476475426,0.22042685219375835
cos x,равномерный,9,0.31622776601683794,0.44366565388927875,0.2963782694252279
cos x,равномерный,9,1.0,0.4423605520021578,0.4088999169816737
cos x,равномерный,9,3.1622776601683795,0.48550665144115746,0.5163465220471793
cos x,равномерный,9,10.0,0.5600156152258906,0.6234458809944912
cos x,равномерный,9,31.622776601683793,0.6177783023629341,0.7048387184642315
cos x,равномерный,9,100.0,0.6474788318357898,0.7453246694531567
cos x,равномерный,10,0.0,2.9949417144575015,0.34720119241902303
cos x,равномерный,10,1e-10,2.9463842474067,0.3472208833604745
cos x,равномерный,10,3.1622776601683795e-10,2.844661443298212,0.34726343860516173
cos x,равномерный,10,1e-09,2.549676183071339,0.347397814493511
cos x,равномерный,10,3.1622776601683795e-09,1.8201465967779953,0.3478208002766521
cos x,равномерный,10,1e-08,0.5476221592843651,0.34913927186235505
cos x,равномерный,10,3.162277660168379e-08,1.200323189322798,0.3531278926093532
cos x,равномерный,10,1e-07,2.0405177541040747,0.36421589775714536
cos x,равномерный,10,3.162277660168379e-07,2.412546760725061,0.3896534471420889
cos x,равномерный,10,1e-06,2.151673298699974,0.4346225302151785
cos x,равномерный,10,3.162277660168379e-06,1.2343316664292487,0.5006478630229042
cos x,равномерный,10,1e-05,0.4988780366301676,0.5622726355076176
cos x,равномерный,10,3.1622776601683795e-05,1.0314380510386354,0.5467784863087137
cos x,равномерный,10,0.0001,1.318843042843631,0.4235932236200316
cos x,равномерный,10,0.00031622776601683794,1.1910675694630404,0.2796305338033688
cos x,равномерный,10,0.001,0.7928513226750262,0.21237906032459147
cos x,равномерный,10,0.0031622776601683794,0.4852685434455134,0.20048665387235245
cos x,равномерный,10,0.01,0.3972271815380205,0.20608084519283962
cos x,равномерный,10,0.03162277660168379,0.42475698205251317,0.21202836554542723
cos x,равномерный,10,0.1,0.444853158144337,0.22147622780172366
cos x,равномерный,10,0.31622776601683794,0.443967893221766,0.28639367965240653
cos x,равномерный,10,1.0,0.4481043149617937,0.40490788707772346
cos x,равномерный,10,3.1622776601683795,0.4862243973204695,0.5178203985753411
cos x,равномерный,10,10.0,0.5574229204614978,0.6205114306818277
cos x,равномерный,10,31.622776601683793,0.6154566927769876,0.7008489183310018
cos x,равномерный,10,100.0,0.6463867107592798,0.7432824942324947
cos x,равномерный,11,0.0,29.435365995383695,0.394180790978731
cos x,равномерный,11,1e-10,27.676946592233644,0.39364862033464537
cos x,равномерный,11,3.1622776601683795e-10,24.49321903716617,0.39251216979696085
cos x,равномерный,11,1e-09,17.89622048980636,0.38904218490897124
cos x,равномерный,11,3.1622776601683795e-09,9.636890641762715,0.3791840426666105
cos x,равномерный,11,1e-08,4.328584255316647,0.356260926409913
cos x,равномерный,11,3.162277660168379e-08,2.532648222782181,0.3225596683747257
cos x,равномерный,11,1e-07,2.1606774282516046,0.30023224832711637
cos x,равномерный,11,3.162277660168379e-07,2.0728238794606675,0.300516055179422
cos x,равномерный,11,1e-06,1.7938802895368293,0.31752681083336504
cos x,равномерный,11,3.162277660168379e-06,1.1068990508775474,0.34698538423682296
cos x,равномерный,11,1e-05,0.5154021863137931,0.39209549950105027
cos x,равномерный,11,3.1622776601683795e-05,0.844411825039374,0.4177779849194757
cos x,равномерный,11,0.0001,1.097448679957993,0.3560586498369324
cos x,равномерный,11,0.00031622776601683794,1.006691922202997,0.2562065324306786
cos x,равномерный,11,0.001,0.6726450819138787,0.20980569559420179
cos x,равномерный,11,0.0031622776601683794,0.4249938789785711,0.2032505337954555
cos x,равномерный,11,0.01,0.3591087708830432,0.21064893232568718
cos x,равномерный,11,0.03162277660168379,0.41119084164705644,0.21574180606712695
cos x,равномерный,11,0.1,0.44484893834984396,0.22175462506881982
cos x,равномерный,11,0.31622776601683794,0.4445026437741445,0.2867544969378488
cos x,равномерный,11,1.0,0.4501813693716549,0.4057137084139578
cos x,равномерный,11,3.1622776601683795,0.48995591227453356,0.518001632105519
cos x,равномерный,11,10.0,0.5585439383237731,0.6205260327363517
cos x,равномерный,11,31.622776601683793,0.6155616014460623,0.7009850329115217
cos x,равномерный,11,100.0,0.6463492824356616,0.7433673909464449
cos x,равномерный,12,0.0,238.32432033634572,0.7595805566104673
cos x,равномерный,12,1e-10,118.28298494725531,0.731065718196026
cos x,равномерный,12,3.1622776601683795e-10,61.692984187687294,0.6760011094480314
cos x,равномерный,12,1e-09,27.68486946350979,0.5463175336913473
cos x,равномерный,12,3.1622776601683795e-09,10.23869491702959,0.35824001964063723
cos x,равномерный,12,1e-08,2.746222996604915,0.2709555250643208
cos x,равномерный,12,3.162277660168379e-08,1.3259698950525147,0.27571967635047845
cos x,равномерный,12,1e-07,2.205579049538636,0.279238529309391
cos x,равномерный,12,3.162277660168379e-07,2.9269132085793594,0.294762212973314
cos x,равномерный,12,1e-06,2.863237669779651,0.3512272646052801
cos x,равномерный,12,3.162277660168379e-06,1.9571886714180962,0.4498128987169485
cos x,равномерный,12,1e-05,0.6900870895895829,0.5499996682403852
cos x,равномерный,12,3.1622776601683795e-05,0.895178210742906,0.6049053267654253
cos x,равномерный,12,0.0001,1.3099506441534445,0.5428057766269672
cos x,равномерный,12,0.00031622776601683794,1.253675375020491,0.3754493471236713
cos x,равномерный,12,0.001,0.8723112032815434,0.24662813214649024
cos x,равномерный,12,0.0031622776601683794,0.540071525068555,0.21201031556308045
cos x,равномерный,12,0.01,0.4187046844881456,0.21529306139804505
cos x,равномерный,12,0.03162277660168379,0.4312244168991512,0.22259470440218135
cos x,равномерный,12,0.1,0.44845854130903895,0.22592302025250643
cos x,равномерный,12,0.31622776601683794,0.44457457613322776,0.28052907740955024
cos x,равномерный,12,1.0,0.4535937381600853,0.40124092784246973
cos x,равномерный,12,3.1622776601683795,0.49122757875507955,0.5192252452260637
cos x,равномерный,12,10.0,0.5574066381981049,0.6194511238815444
cos x,равномерный,12,31.622776601683793,0.6141323544251122,0.6983576226218445
cos x,равномерный,12,100.0,0.6456000338646086,0.7418531666287395
cos x,равномерный,13,0.0,137.89460582189852,5.101036441011628
cos x,равномерный,13,1e-10,123.29125535481027,3.873637001678048
cos x,равномерный,13,3.1622776601683795e-10,72.65033537584506,2.5962967010518705
cos x,равномерный,13,1e-09,41.803348825640704,1.3304826387466864
cos x,равномерный,13,3.1622776601683795e-09,23.82177881722752,0.5496520507828003
cos x,равномерный,13,1e-08,11.649501142655385,0.27707085986949237
cos x,равномерный,13,3.162277660168379e-08,5.489922810570385,0.28044685455769064
cos x,равномерный,13,1e-07,3.698294020519185,0.2781712619505759
cos x,равномерный,13,3.162277660168379e-07,3.213552147268287,0.27523518462427604
cos x,равномерный,13,1e-06,2.6403777677939337,0.2968025106681252
cos x,равномерный,13,3.162277660168379e-06,1.6886463647324148,0.3552542086727013
cos x,равномерный,13,1e-05,0.6367458522985376,0.4252416771244072
cos x,равномерный,13,3.1622776601683795e-05,0.82301287242471,0.4778377668241055
cos x,равномерный,13,0.0001,1.170632386102464,0.4495779468248924
cos x,равномерный,13,0.00031622776601683794,1.1189519796109775,0.32420829842837456
cos x,равномерный,13,0.001,0.7853544904854375,0.22792472031690603
cos x,равномерный,13,0.0031622776601683794,0.5033234325595112,0.20868365927392168
cos x,равномерный,13,0.01,0.39432763322134556,0.21775100606084904
cos x,равномерный,13,0.03162277660168379,0.418410257812865,0.22633598212269174
cos x,равномерный,13,0.1,0.4469823806928602,0.22669196420493368
cos x,равномерный,13,0.31622776601683794,0.4450282984346051,0.2808672021263786
cos x,равномерный,13,1.0,0.45549418038357636,0.4023079546239158
cos x,равномерный,13,3.1622776601683795,0.4941106633049503,0.5195861375757372
cos x,равномерный,13,10.0,0.5582724243245816,0.6194379593710309
cos x,равномерный,13,31.622776601683793,0.6142194662821995,0.6984278085412982
cos x,равномерный,13,100.0,0.6455728346358343,0.7419102335244263
cos x,равномерный,14,0.0,1717.345871410692,10.304725610092637
cos x,равномерный,14,1e-10,248.28250701739407,5.396055335871285
cos x,равномерный,14,3.1622776601683795e-10,153.8721369542712,3.4246982754692197
cos x,равномерный,14,1e-09,75.22991920027137,1.947324568706825
cos x,равномерный,14,3.1622776601683795e-09,32.099565338685906,1.1005638686619486
cos x,равномерный,14,1e-08,11.638019194796522,0.6111967755550471
cos x,равномерный,14,3.162277660168379e-08,3.7972494946970157,0.3535972061300556
cos x,равномерный,14,1e-07,2.683212648485884,0.2881835960235195
cos x,равномерный,14,3.162277660168379e-07,3.3528684216847475,0.2743665659320969
cos x,равномерный,14,1e-06,3.3462781419529177,0.27892350361791796
cos x,равномерный,14,3.162277660168379e-06,2.401608645599777,0.3813481215849622
cos x,равномерный,14,1e-05,0.9499014697915664,0.5329526889441177
cos x,равномерный,14,3.1622776601683795e-05,0.8049852408633441,0.6334823143593786
cos x,равномерный,14,0.0001,1.3108533964584783,0.6196430977657336
cos x,равномерный,14,0.00031622776601683794,1.2961624318751306,0.4625885212463483
cos x,равномерный,14,0.001,0.9330403494776025,0.28829339610383975
cos x,равномерный,14,0.0031622776601683794,0.5928040336249735,0.22484560405536652
cos x,равномерный,14,0.01,0.4447343046596538,0.22471571983744804
cos x,равномерный,14,0.03162277660168379,0.4372914775400652,0.23330680287778485
cos x,равномерный,14,0.1,0.4508012097592454,0.23206293116573415
cos x,равномерный,14,0.31622776601683794,0.4450715104606345,0.2772101514517837
cos x,равномерный,14,1.0,0.4576465546782519,0.3980333318887761
cos x,равномерный,14,3.1622776601683795,0.49545259860710295,0.5203798235231016
