representation,condition,metric,k,weighted,accuracy
бинарное,блок 8x8,l2,1,True,0.8366666666666667
бинарное,блок 8x8,l2,3,False,0.8533333333333334
бинарное,блок 8x8,l2,3,True,0.8666666666666667
бинарное,блок 8x8,l2,5,False,0.87
бинарное,блок 8x8,l2,5,True,0.8766666666666667
бинарное,блок 8x8,l2,7,False,0.8633333333333333
бинарное,блок 8x8,l2,7,True,0.8766666666666667
бинарное,блок 8x8,l2,9,False,0.8433333333333334
бинарное,блок 8x8,l2,9,True,0.8533333333333334
бинарное,блок 8x8,linf,1,False,0.1
бинарное,блок 8x8,linf,1,True,0.1
бинарное,блок 8x8,linf,3,False,0.1
бинарное,блок 8x8,linf,3,True,0.1
бинарное,блок 8x8,linf,5,False,0.1
бинарное,блок 8x8,linf,5,True,0.1
бинарное,блок 8x8,linf,7,False,0.1
бинарное,блок 8x8,linf,7,True,0.1
бинарное,блок 8x8,linf,9,False,0.1
бинарное,блок 8x8,linf,9,True,0.1
бинарное,блок 8x8,cosine,1,False,0.84
бинарное,блок 8x8,cosine,1,True,0.84
бинарное,блок 8x8,cosine,3,False,0.8566666666666667
бинарное,блок 8x8,cosine,3,True,0.8533333333333334
бинарное,блок 8x8,cosine,5,False,0.8733333333333333
бинарное,блок 8x8,cosine,5,True,0.87
бинарное,блок 8x8,cosine,7,False,0.87
бинарное,блок 8x8,cosine,7,True,0.87
бинарное,блок 8x8,cosine,9,False,0.8533333333333334
бинарное,блок 8x8,cosine,9,True,0.86
бинарное,блок 12x12,l1,1,False,0.7666666666666667
бинарное,блок 12x12,l1,1,True,0.7666666666666667
бинарное,блок 12x12,l1,3,False,0.7833333333333333
бинарное,блок 12x12,l1,3,True,0.7766666666666666
бинарное,блок 12x12,l1,5,False,0.7866666666666666
бинарное,блок 12x12,l1,5,True,0.8033333333333333
бинарное,блок 12x12,l1,7,False,0.7933333333333333
бинарное,блок 12x12,l1,7,True,0.8033333333333333
бинарное,блок 12x12,l1,9,False,0.8033333333333333
бинарное,блок 12x12,l1,9,True,0.8066666666666666
бинарное,блок 12x12,l2,1,False,0.7666666666666667
бинарное,блок 12x12,l2,1,True,0.7666666666666667
бинарное,блок 12x12,l2,3,False,0.7833333333333333
бинарное,блок 12x12,l2,3,True,0.7766666666666666
бинарное,блок 12x12,l2,5,False,0.7866666666666666
бинарное,блок 12x12,l2,5,True,0.8033333333333333
бинарное,блок 12x12,l2,7,False,0.7933333333333333
бинарное,блок 12x12,l2,7,True,0.8033333333333333
бинарное,блок 12x12,l2,9,False,0.8033333333333333
бинарное,блок 12x12,l2,9,True,0.8066666666666666
бинарное,блок 12x12,linf,1,False,0.1
бинарное,блок 12x12,linf,1,True,0.1
бинарное,блок 12x12,linf,3,False,0.1
бинарное,блок 12x12,linf,3,True,0.1
бинарное,блок 12x12,linf,5,False,0.1
бинарное,блок 12x12,linf,5,True,0.1
бинарное,блок 12x12,linf,7,False,0.1
бинарное,блок 12x12,linf,7,True,0.1
бинарное,блок 12x12,linf,9,False,0.1
бинарное,блок 12x12,linf,9,True,0.1
бинарное,блок 12x12,cosine,1,False,0.7266666666666667
бинарное,блок 12x12,cosine,1,True,0.7266666666666667
бинарное,блок 12x12,cosine,3,False,0.73
бинарное,блок 12x12,cosine,3,True,0.7366666666666667
бинарное,блок 12x12,cosine,5,False,0.7566666666666667
бинарное,блок 12x12,cosine,5,True,0.7533333333333333
бинарное,блок 12x12,cosine,7,False,0.7533333333333333
бинарное,блок 12x12,cosine,7,True,0.76
бинарное,блок 12x12,cosine,9,False,0.7433333333333333
бинарное,блок 12x12,cosine,9,True,0.73
